Id,GameId,Name,NativeName,Summary,Type,Description,Rules,Reference,Origin,Author,Publisher,Date,OriginPoint,EvidenceRange,SelfContained,Notes,DisableWebApp,WishlistRuleset
1,3,Simple Senet,,Played on a board with no markings.,5,,Played on a 3x10 grid. No spaces are marked.,Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
2,3,Simple Marked Senet,,Played on a board with basic markings.,5,,"Played on a 3x10 board, with spaces marked as follows: 26: nefer hieroglyph (good) 27: X 28: ||| 29: ||.",Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
3,3,Middle Kingdom Senet,,Played on a board common in Middle Kingdom Egypt.,5,,Played on a 3x10 grid with markings in squares (counting from top left): square 2: || 3: ||| 4: X 5: nefer hieroglyph (good) arc over squares 2 & 3 arc over square 5.,Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
4,3,Early New Kingdom Senet,,Played on a board common in earlier New Kingdom Egypt.,5,,Played on a 3x10 grid with markings in the following squares: 26: neferu hieroglyph 27: water hieroglpyh 28: 3 birds 29: 2 men.,Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
5,3,Late New Kingdom Senet,,Played on a board common in later New Kingdom Egypt.,5,,Played on a 3x10 grid with markings in the following squares: 26: neferu 27: water 28: three gods 29: two gods 30: Horus.,Future reference.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
6,3,Vertical Senet,,Played with a vertically-oriented board and different markings.,5,,"Played on a 3x10 grid, with the long side oriented vertically and with markings in the following squares: 27: neferu hieroglyph 28: neferu hieroglyph 30: neferu hieroglyph. Arcs appear over the top squares in each row.",Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
8,3,Double Senet,,Played on two boards placed next to each other.,5,,Senet played on two 3x10 boards adjacent to each other.,Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
9,3,Cypriot Senet,,Played on simple boards with seeds or stones in prehistoric Cyprus.,5,,"Crude limestone boards with depressions instead of squares as spaces.Pebbles, seeds, other small objects, number unknown.",Future reconstruction.,,,,,"30°1'55.75""N, 31°4'31.13""E","530,3199",0,,0,1
10,50,Historical Information,,Rules known from DLP evidence.,5,These rules are taken from the DLP evidence.," 4x3 grid with a 3x 2 grid connected by a ""neck"" of two squares. Five discs per player. Four tetrahedral dice.",DLP Evidence.,,,,,"30°38'59.39""N, 61°23'59.85""E","500,1600",0,,0,1
11,7,Simple 20 Squares,,Played on a board with no markings.,5,,Played on a 3x4 board with an extension of 8 in the middle row. Spaces are unmarked.,Future reconstruction.,,,,,"28°40'30.41""N, 57°44'13.74""E","1200,3499",0,,0,1
12,7,Marked 20 Squares,,Played on a board with certain marked squares.,5,,"Twenty Squares board with spaces marked in spaces 4, 8, 12, 20, and/or 20",Future reconstruction.,,,,,"31°50'18.71""N, 45°28'50.65""E","1500,3499",0,,0,1
